atc_code,atc_description
j02aa01,Amfotericina B
j02ab,Derivados imidazólicos
j02ab02,Ketoconazol
j02ac,Derivados triazólicos
j02ac01,Fluconazol
j02ac05,Isavuconazol
j02ac02,Itraconazol
j02ac04,Posaconazol
j02ac03,Voriconazol
j02ax,Otros antimicóticos para uso sistémico
j02ax08,Acetato de rezafungina
j02ax06,Anidulafungina
j02ax04,Caspofungina
j02ax05,Micafungina
j05,Antivirales de uso sistémico
j05a,Antivirales de acción directa
j05ap,Antivirales para el tratamiento de infecciones de VHC
j05ap03,Boceprevir
j05ap07,Daclatasvir
j05ap09,Dasabuvir
j05ap54,Elbasvir y grazoprevir
j05ap57,Glecaprevir y pibrentasvir
j05ap53,"Ombitasvir, paritaprevir y ritonavir"
j05ap01,Ribavirina
j05ap05,Simeprevir
j05ap08,Sofosbuvir
j05ap51,Sofosbuvir y ledipasvir
j05ap55,Sofosbuvir y velpatasvir
j05ap56,"Sofosbuvir, velpatasvir y voxilaprevir"
j05ap02,Telaprevir
j05ar,Combinación de antivirales para el tratamiento de infecciones por VIH
j05ar15,Atazanavir y cobicistat
j05ar21,Dolutegravir y rilpivirina
j05ar17,Emtricitabina y tenofovir alafenamida
j05ar20,"Emtricitabina, tenofovir alafenamida y bictegravir"
j05ar19,"Emtricitabina, tenofovir alafenamida y rilpivirina"
j05ar22,"Emtricitabina, tenofovir alafenamida, darunavir y cobicistat"
j05ar18,"Emtricitabina, tenofovir alafenamida, elvitegravir y cobicistat"
j05ar06,"Emtricitabina, tenofovir disoproxilo y efavirenz"
j05ar08,"Emtricitabina, tenofovir disoproxilo y rilpivirina"
j05ar09,"Emtricitabina, tenofovir disoproxilo, elvitegravir y cobicistat"
j05ar02,Lamivudina y abacavir
j05ar25,Lamivudina y dolutegravir
j05ar12,Lamivudina y tenofovir disoproxilo
j05ar13,"Lamivudina, abacavir y dolutegravir"
j05ar24,"Lamivudina, tenofovir disoproxilo y doravirina"
j05ar10,Lopinavir y ritonavir
j05ar03,Tenofovir disoproxilo y emtricitabina
j05ar01,Zidovudina y lamivudina
j05ar04,"Zidovudina, lamivudina y abacavir"
j05ad,Derivados del ácido fosfónico
j05ad01,Foscarnet
j05aj,Inhibidores de la integrasa
j05aj04,Cabotegravir
j05aj03,Dolutegravir
j05aj02,Elvitegravir
j05aj01,Raltegravir
j05ah,Inhibidores de la neuramidasa
j05ah02,Oseltamivir
j05ah01,Zanamivir
j05ae,Inhibidores de proteasa
j05ae08,Atazanavir
j05ae10,Darunavir
j05ae07,Fosamprenavir
j05ae02,Indinavir
j05ae30,Nirmatrelvir y ritonavir
j05ae03,Ritonavir
j05ae01,Saquinavir
j05ae09,Tipranavir
j05ag,Inhibidores no nucleosidicos de la transcriptasa inversa
j05ag06,Doravirina
j05ag03,Efavirenz
j05ag04,Etravirina
j05ag01,Nevirapina
j05ag05,Rilpivirina
j05af,Nucleosidos y nucleotidos inhibidores de la transcriptasa inversa
j05af06,Abacavir
j05af08,Adefovir dipivoxilo
j05af02,Didanosina
j05af09,Emtricitabina
j05af10,Entecavir
j05af04,Estavudina
j05af05,Lamivudina
j05af11,Telbivudina
j05af13,Tenofovir alafenamida
j05af07,Tenofovir disoproxilo
j05af01,Zidovudina
j05ab,"Nucleosidos y nucleotidos, excluyendo inhibidores de la transcriptasa inversa"
j05ab01,Aciclovir
j05ab15,Brivudina
j05ab12,Cidofovir
j05ab09,Famciclovir
j05ab06,Ganciclovir
j05ab16,Remdesivir
j05ab11,Valaciclovir
j05ab14,Valganciclovir
j05ax,Otros antivirales
j05ax28,Bulevirtida
j05ax12,Dolutegravir
j05ax11,Elvitegravir
j05ax07,Enfuvirtida
j05ax29,Fostemsavir
j05ax23,Ibalizumab
j05ax31,Lenacapavir
j05ax18,Letermovir
j05ax02,Lisozima
j05ax09,Maraviroc
j05ax10,Maribavir
j05ax08,Raltegravir
j04,Drogas antimicobacterias
j04b,Fármacos para el tratamiento de la lepra
j04ba,Fármacos para el tratamiento de la lepra
j04ba01,Clofazimina
j04ba02,Dapsona
j04a,Fármacos para el tratamiento de la tuberculosis
j04aa,Ácido aminosalicílico y derivados
j04aa01,Ácido aminosalicílico
j04ab,Antibióticos
j04ab30,Capreomicina
j04ab04,Rifabutina
j04ab02,Rifampicina
j04am,Combinaciones de fármacos para el tratamiento de la tuberculosis
j04am02,Rifampicina e isoniazida
j04am05,"Rifampicina, pirazinamida e isoniazida"
j04am06,"Rifampicina, pirazinamida, etambutol e isoniazida"
j04ac,Hidrazidas
j04ac01,Isoniazida
j04ac51,"Isoniazida, combinaciones con"
j04ak,Otros fármacos para el tratamiento de la tuberculosis
j04ak05,Bedaquilina
j04ak06,Delamanid
j04ak02,Etambutol
j04ak01,Pirazinamida
j06,Sueros inmunes e inmunoglobulinas
j06b,Inmunoglobulinas
j06bd,Anticuerpos monoclonales antivirales
j06bd07,Casirivimab y imdevimab
j06bd08,Nirsevimab
j06bd01,Palivizumab
j06bd05,Sotrovimab
j06bd03,Tixagevimab y cilgavimab
j06bb,Inmunoglobulinas específicas
j06bb21,Bezlotoxumab
j06bb01,Inmunoglobulina anti-d (RH)
j06bb09,Inmunoglobulina anticitomegalovirus
j06bb04,Inmunoglobulina antihepatitis B
j06bb05,Inmunoglobulina antirrábica
j06bb02,Inmunoglobulina antitetánica
j06bb16,Palivizumab
j06ba,Inmunoglobulinas humanas normales
j06ba01,Inmunoglobulinas humanas normales para adm. extravascular
j06ba02,Inmunoglobulinas humanas normales para adm. intravascular
j06bc,Otras inmunoglobulinas
j06bc03,Bezlotoxumab
j06a,Sueros inmunes
j07,Vacunas
j07a,Vacunas antibacterianas
j07an,Vacuna antituberculosa
j07an01,"Tuberculosis, micobacteria viva atenuada"
j07ah,Vacunas antimeningococo
j07ah03,"Meningococo A, C, antígeno bivalente constituido por polisacáridos purificados"
j07ah08,"Meningococo A, C, Y, W-135, antígeno conjugado tetravalente, constituido por polisacáridos purificados"
j07ah09,"Meningococo B, vacuna multicomponente"
j07ah07,"Meningococo C, antígenos conjugado de polisacáridos purificados"
j07al,Vacunas antineumococo
j07al52,"Antígeno de neumococo polisacárido purificado y haemophilus influenzae, conjugados"
j07al01,"Neumococo, antigeno constituido por polisacaridos purificados"
j07al02,"Neumococo, antígenos conjugado constituido por polisacáridos purificados"
j07aj,Vacunas antipertussis
j07aj52,"Pertussis, antígeno purificado, combinación con toxoides"
j07am,Vacunas antitetánicas
j07am51,"Tetánico, toxoide, combinaciones con toxoide diftérico"
j07ap,Vacunas antitifoideas
j07ap03,"Tifoidea, antígeno constituido por polisacárido purificado"
j07ap01,"Tifoidea, viva atenuada, oral"
j07ae,Vacunas contra el colera
j07ae01,"Colera, celula entera inactivada"
j07ae02,"Colera, vibrion vivo atenuado"
j07ag,Vacunas contra el haemophilus influenzae B
j07ag01,"Haemophilus influenzae b, antígeno purificado conjugado"
j07c,Vacunas antibacterianas y antivirales combinadas
j07ca,Vacunas antibacterianas y antivirales combinadas
j07ca06,Difteria-haemophilus influenzae B-pertussis-poliomielitis-tétanos
j07ca09,Difteria-haemophilus influenzae B-pertussis-poliomielitis-tétanos-hepatitis B
j07ca05,Difteria-hepatitis b-pertussis-tétanos
j07ca02,Difteria-pertussis-poliomielitis-tétanos
j07ca01,Difteria-poliomielitis-tétanos
j07b,Vacunas antivirales
j07bx,Otras vacunas virales
j07bx02,Vacuna frente al ébola
j07bx03,Vacunas contra covid-19
j07bx04,Vacunas frente al dengue
j07bx05,Vacunas frente al virus sincitial respiratorio
j07bm,Vacuna contra papilomavirus
j07bm02,"Papilomavirus (tipos humanos 16, 18)"
j07bm03,"Papilomavirus (tipos humanos 6, 11, 16, 18, 31, 33, 45, 52, 58)"
j07bm01,"Papilomavirus (tipos humanos 6, 11, 16, 18)"
j07bk,Vacunas anti varicela zóster
j07bk01,"Varicela, virus vivo atenuado"
j07bk03,"Zoster, antigeno purificado de"
j07bk02,"Zóster, virus vivo atenuado"
j07bd,Vacunas contra el sarampión
j07bd01,"Sarampión, virus vivo atenuado"
j07bd52,"Sarampión, virus vivo atenuado combinado con la vacuna contra la parotiditis y la rubeola"
j07bd54,"Sarampión, virus vivo atenuado combinado con la vacuna contra la parotiditis, la varicela y la rubeola"
j07bh,Vacunas contra la diarrea por rotavirus
j07bh02,"Rotavirus pentavalente, vivo, modificado"
j07bh01,"Rotavirus, virus vivo atenuado"
j07ba,Vacunas contra la encefalitis
j07ba02,"Encefalitis japonesa, virus entero inactivado"
j07bl,Vacunas contra la fiebre amarilla
j07bl01,"Fiebre amarilla, virus vivo atenuado"
j07bb,Vacunas contra la gripe
j07bb02,"Influenza, antígeno purificado"
j07bb03,"Influenza, vibrión vivo atenuado"
j07bb01,"Influenza, virus entero inactivado"
j07bc,Vacunas contra la hepatitis
j07bc20,Combinaciones
j07bc02,"Hepatitis A, virus entero inactivado"
j07bc01,"Hepatitis B, antígeno purificado de"
j07be,Vacunas contra la parotiditis
j07be01,"Parotiditis, virus vivo atenuado"
j07bf,Vacunas contra la poliomielitis
j07bf03,"Poliomielitis, inactivado, virus entero, trivalente"
j07bf02,"Poliomielitis, vacuna oral , virus vivo atenuado, trivalente"
j07bg,Vacunas contra la rabia
j07bg01,"Rabia, virus entero inactivado"
j07bj,Vacunas contra la rubeola
j07bj01,"Rubeola, virus vivo atenuado"
j07bn,Vacunas frente a covid-19
j07bn01,Vacunas basadas en arn frente a covid-19
j07bn04,Vacunas de subunidad proteica frente a covid-19
j07bn02,Vacunas de vector viral no replicante frente a covid-19
l,Agentes antineoplásicos e inmunomoduladores
l01,Agentes antineoplásicos
l01a,Agentes alquilantes
l01ab,Alquilsulfonatos
l01ab01,Busulfano
l01ab02,Treosulfano
l01aa,Análogos de la mostaza nitrogenada
l01aa09,Bendamustina
l01aa01,Ciclofosfamida
l01aa02,Clorambucilo
l01aa05,Clormetina
l01aa06,Ifosfamida
l01aa03,Melfalán
l01aa10,Melfalán flufenamida
l01ac,Etileniminas
l01ac01,Tiotepa
l01ad,Nitrosoureas
l01ad01,Carmustina
l01ad04,Estreptozocina
l01ad05,Fotemustina
l01ad02,Lomustina
l01ax,Otros agentes alquilantes
l01ax04,Dacarbazina
l01ax03,Temozolomida
l01c,Alcaloides de plantas y otros productos naturales
l01ca,Alcaloides de la vinca y análogos
l01ca01,Vinblastina
l01ca02,Vincristina
l01ca03,Vindesina
l01ca05,Vinflunina
l01ca04,Vinorelbina
l01cb,Derivados de la podofilotoxina
l01cb01,Etopósido
l01ce,Inhibidores de la topoisomerasa 1 (top1)
l01ce02,Irinotecán
l01ce01,Topotecán
l01cx,Otros alcaloides de plantas y productos naturales
l01cx01,Trabectedina
l01cd,Taxanos
l01cd04,Cabazitaxel
l01cd02,Docetaxel
l01cd01,Paclitaxel
l01d,Antibióticos citotóxicos y sustancias relacionadas
l01db,Antraciclinas y sustancias relacionadas
l01db02,Daunorubicina
l01db01,Doxorubicina
l01db03,Epirubicina
l01db06,Idarubicina
l01db07,Mitoxantrona
l01db11,Pixantrona
l01dc,Otros antibióticos citotóxicos
l01dc01,Bleomicina
l01dc03,Mitomicina
l01f,Anticuerpos monoclonales y conjugados de medicamentos con anticuerpos
l01fy,Combinaciones de anticuerpos monoclonales con anticuerpos conjugados con medicamentos
l01fy02,Nivolumab y relatlimab
l01fy01,Pertuzumab y trastuzumab
l01fa,Inhibidores de cd20 (grupo de diferenciación 20)
l01fa03,L01fa03- obinutuzumab
l01fa02,Ofatumumab
l01fa01,Rituximab
l01fb,Inhibidores de cd22 (grupos de diferenciación 22)
l01fb01,Inotuzumab ozogamicina
l01fc,Inhibidores de cd38 (grupos de diferenciación 38)
l01fc01,Daratumumab
l01fc02,Isatuximab
l01ff,Inhibidores de la pd-1/pd-l1 (proteína 1 de muerte celular programada/ligando 1 de muerte programada)
l01ff05,Atezolizumab
l01ff04,Avelumab
l01ff06,Cemiplimab
l01ff07,Dostarlimab
l01ff03,Durvalumab
l01ff01,Nivolumab
l01ff02,Pembrolizumab
l01ff09,Tislelizumab
l01fe,Inhibidores del egfr (receptor del factor de crecimiento epidérmico)
l01fe01,Cetuximab
l01fe03,Necitumumab
l01fe02,Panitumumab
l01fd,Inhibidores del her2 (receptor 2 del factor de crecimiento epidérmico humano)
l01fd02,Pertuzumab
l01fd01,Trastuzumab
l01fd04,Trastuzumab deruxtecan
l01fd03,Trastuzumab emtansina
l01fg,Inhibidores del vegf/vegfr (factor de crecimiento endotelial vascular/receptor del factor de crecimiento endotelial vascular)
l01fg01,Bevacizumab
l01fg02,Ramucirumab
l01fx,Otros anticuerpos monoclonales
l01fx18,Amivantamab
l01fx15,Belantamab mafodotin
l01fx07,Blinatumomab
l01fx05,Brentuximab vedotina
l01fx03,Catumaxomab
l01fx06,Dinutuximab beta
l01fx08,Elotuzumab
l01fx32,Elranatamab
l01fx13,Enfortumab vedotina
l01fx27,Epcoritamab
l01fx02,Gemtuzumab ozogamicina
l01fx28,Glofitamab
l01fx04,Ipilimumab
l01fx22,Loncastuximab tesirina
l01fx09,Mogamulizumab
l01fx25,Mosunetuzumab
l01fx10,Olaratumab
l01fx14,Polatuzumab vedotina
l01fx17,Sacituzumab govitecan
l01fx12,Tafasitamab
l01fx29,Talquetamab
l01fx24,Teclistamab
l01fx20,Tremelimumab
l01fx31,Zolbetuximab
l01b,Antimetabolitos
l01bc,Análogos de las pirimidinas
l01bc07,Azacitidina
l01bc06,Capecitabina
l01bc01,Citarabina
l01bc08,Decitabina
l01bc58,"Decitabina, combinaciones con"
l01bc02,Fluorouracilo
l01bc52,"Fluorouracilo, combinaciones con"
l01bc05,Gemcitabina
l01bc03,Tegafur
l01bc53,"Tegafur, combinaciones con"
l01bc59,"Trifluridina, combinaciones con"
l01bb,Análogos de las purinas
l01bb04,Cladribina
l01bb06,Clofarabina
l01bb05,Fludarabina
l01bb02,Mercaptopurina
l01bb07,Nelarabina
l01bb03,Tioguanina
l01ba,Análogos del ácido fólico
l01ba01,Metotrexato
l01ba04,Pemetrexed
l01ba03,Raltitrexed
l01e,Inhibidores de la proteinquinasa
l01em,Inhibidores de la fosfatidilinositol-3-quinasa (pi3k)
l01em03,Alpelisib
l01em01,Idelalisib
l01ef,Inhibidores de la quinasa ciclina-dependiente (cdk)
l01ef03,Abemaciclib
l01ef01,Palbociclib
l01ef02,Ribociclib
l01ed,Inhibidores de la quinasa de linfoma anaplástico (alk)
l01ed03,Alectinib
l01ed04,Brigatinib
l01ed02,Ceritinib
l01ed01,Crizotinib
l01ed05,Lorlatinib
l01eg,Inhibidores de la quinasa de rapamicina de mamíferos (mtor)
l01eg02,Everolimus
l01eg01,Temsirolimus
l01ej,Inhibidores de la quinasa janus-asociada (jak)
l01ej02,Fedratinid
l01ej01,Ruxolitinib
l01ee,Inhibidores de la quinasa mitógeno-activada (mek)
l01ee03,Binimetinib
l01ee02,Cobimetinib
l01ee04,Selumetinib
l01ee01,Trametinib
l01ec,Inhibidores de la serina-treonina quinasa b-raf (braf)
l01ec02,Dabrafenib
l01ec03,Encorafenib
l01ec01,Vemurafenib
l01en,Inhibidores de la tirosina quinasa del receptor del factor de crecimiento fibroblástico (fgfr)
l01en01,Erdafitinib
l01en04,Futibatinib
l01en02,Pemigatinib
l01ea,Inhibidores de la tirosinquinasa bcr-abl
l01ea06,Asciminib
l01ea04,Bosutinib
l01ea02,Dasatinib
l01ea01,Imatinib
l01ea03,Nilotinib
l01ea05,Ponatinib
l01el,Inhibidores de la tirosinquinasa de bruton (btk)
l01el02,Acalabrutinib
l01el01,Ibrutinib
l01el05,Pirtobrutinib
l01el03,Zanubrutinib
l01eh,Inhibidores de la tirosinquinasa del receptor 2 de factor de crecimiento epidérmico humano (her2)
l01eh01,Lapatinib
l01eh02,Neratinib
l01eh03,Tucatinib
l01ek,Inhibidores de la tirosinquinasa del receptor de factor de crecimiento endotelial vascular (vegfr)
l01ek01,Axitinib
l01ek04,Fruquintinib
l01ek03,Tivozanib
l01eb,Inhibidores de la tirosinquinasa del receptor de factor de crecimiento epidérmico (egfr)
l01eb03,Afatinib
l01eb07,Dacomitinib
l01eb02,Erlotinib
l01eb01,Gefitinib
l01eb04,Osimertinib
l01ex,Otros inhibidores de la proteinquinasa
l01ex18,Avapritinib
l01ex07,Cabozantinib
l01ex27,Capivasertib
l01ex17,Capmatinib
l01ex14,Entrectinib
l01ex13,Gilteritinib
l01ex12,Larotrectinib
l01ex08,Lenvatinib
l01ex10,Midostaurin
l01ex09,Nintedanib
l01ex03,Pazopanib
l01ex20,Pemigatinib
l01ex23,Pralsetinib
l01ex11,Quizartinib
l01ex05,Regorafenib
l01ex19,Ripretinib
l01ex22,Selpercatinib
l01ex02,Sorafenib
l01ex01,Sunitinib
l01ex21,Tepotinib
l01ex04,Vandetanib
l01x,Otros agentes antineoplásicos
l01xc,Anticuerpos monoclonales
l01xc32,Atezolizumab
l01xc31,Avelumab
l01xc39,Belantamab mafodotina
l01xc07,Bevacizumab
l01xc19,Blinatumomab
l01xc12,Brentuximab vedotina
l01xc09,Catumaxomab
l01xc33,Cemiplimab
l01xc06,Cetuximab
l01xc24,Daratumumab
l01xc40,Dostarlimab
l01xc28,Durvalumab
l01xc23,Elotuzumab
l01xc05,Gemtuzumab ozogamicina
l01xc26,Inotuzumab ozogamicina
l01xc11,Ipilimumab
l01xc38,Isatuximab
l01xc25,Mogamulizumab
l01xc22,Necitumumab
l01xc17,Nivolumab
l01xc15,Obinutuzumab
l01xc10,Ofatumumab
l01xc27,Olaratumab
l01xc08,Panitumumab
l01xc18,Pembrolizumab
l01xc13,Pertuzumab
l01xc37,Polatuzumab vedotina
l01xc21,Ramucirumab
l01xc02,Rituximab
l01xc35,Tafasitamab
l01xc03,Trastuzumab
l01xc41,Trastuzumab deruxtecan
l01xc14,Trastuzumab emtansina
l01xy,Combinaciones de agentes antineoplásicos
l01xy01,Citarabina y daunorubicina
l01xy03,Nivolumab y relatlimab
l01xy02,Pertuzumab y trastuzumab
l01xa,Compuestos del platino
l01xa02,Carboplatino
l01xa01,Cisplatino
l01xa03,Oxaliplatino
l01xh,Inhibidores de la histona deacetilasa (hdac)
l01xh03,Panobinostat
l01xk,Inhibidores de la poli (adp-ribosa) polimerasa (parp)
l01xk02,Niraparib
l01xk01,Olaparib
l01xk03,Rucaparib
l01xk04,Talazoparib
l01xj,Inhibidores de la ruta hedgehog
l01xj03,Glasdegib
l01xj02,Sonidegib
l01xj01,Vismodegib
l01xg,Inhibidores del proteosoma
l01xg01,Bortezomib
l01xg02,Carfilzomib
l01xg03,Ixazomib
l01xe,Inhibidores directos de la protein-quinasa
l01xe50,Abemaciclib
l01xe13,Afatinib
l01xe36,Alectinib
l01xe17,Axitinib
l01xe41,Binimetinib
l01xe14,Bosutinib
l01xe43,Brigatinib
l01xe26,Cabozantinib
l01xe28,Ceritinib
l01xe38,Cobimetinib
l01xe16,Crizotinib
l01xe23,Dabrafenib
l01xe47,Dacomitinib
l01xe06,Dasatinib
l01xe46,Encorafenib
l01xe56,Entrectinib
l01xe03,Erlotinib
l01xe10,Everolimus
l01xe02,Gefitinib
l01xe54,Gilteritinib
l01xe27,Ibrutinib
l01xe01,Imatinib
l01xe51,L01xe51 ¿ acalabrutinib
l01xe07,Lapatinib
l01xe53,Larotrectinib
l01xe29,Lenvatinib
l01xe44,Lorlatinib
l01xe39,Midostaurina
l01xe45,Neratinib
l01xe08,Nilotinib
l01xe31,Nintedanib
l01xe35,Osimertinib
l01xe33,Palbociclib
l01xe11,Pazopanib
l01xe24,Ponatinib
l01xe21,Regorafenib
l01xe42,Ribociclib
l01xe18,Ruxolitinib
l01xe05,Sorafenib
l01xe04,Sunitinib
l01xe09,Temsirolimus
l01xe34,Tivozanib
l01xe25,Trametinib
l01xe12,Vandetanib
l01xe15,Vemurafenib
l01xb,Metilhidrazinas
l01xb01,Procarbazina
l01xx,Otros agentes antineoplásicos
l01xx44,Aflibercept
l01xx22,Alitretinoina
l01xx65,Alpelisib
l01xx01,Amsacrina
l01xx35,Anagrelida
l01xx02,Asparaginasa
l01xx70,Axicabtagén ciloleucel
l01xx90,Axicabtagén ciloleucel
l01xx25,Bexaroteno
l01xx32,Bortezomib
l01xx45,Carfilzomib
l01xx41,Eribulina
l01xx11,Estramustina
l01xx63,Glasdegib
l01xx05,Hidroxicarbamida
l01xx47,Idelalisib
l01xx19,Irinotecán
l01xx62,Ivosidenib
l01xx50,Ixazomib
l01xx23,Mitotano
l01xx54,Niraparib
l01xx46,Olaparib
l01xx42,Panobinostat
l01xx24,Pegaspargasa
l01xx08,Pentostatina
l01xx55,Rucaparib
l01xx66,Selinexor
l01xx48,Sonidegib
l01xx73,Sotorasib
l01xx67,Tagraxofusp
l01xx60,Talazoparib
l01xx51,Talimogen laherparepvec
l01xx75,Tebentafusp
l01xx71,Tisagenlecleucel
l01xx91,Tisagenlecleucel
l01xx17,Topotecán
l01xx14,Tretinoína
l01xx27,Trióxido de arsénico
l01xx52,Venetoclax
l01xx43,Vismodegib
l01xf,Retinoides para el tratamiento del cáncer
l01xf02,Alitretinoin
l01xf03,Bexaroteno
l01xf01,Tretinoina
l01xd,Sensibilizadores usados en terapia fotodinámica y radiación
l01xd04,Ácido aminolevulinico
l01xd03,Aminolevulinato de metilo
l01xd07,Padeliporfina
l01xd05,Temoporfina
l01xl,Terapia génica y celular antineoplásica
l01xl03,Axicabtagén ciloleucel
l01xl06,Brexucabtagén autoleucel
l01xl05,Ciltacabtagén autoleucel
l01xl07,Idecabtagén vicleucel
l01xl09,Tabelecleucel
l01xl02,Talimogén laherparepvec
l01xl04,Tisagenlecleucel 
l04,Agentes inmunosupresores
l04a,Inmunosupresores
l04ag,Anticuerpos monoclonales
l04ag06,Alemtuzumab
l04ag11,Anifrolumab
l04ag04,Belimumab
l04ag10,Inebilizumab
l04ag03,Natalizumab
l04ag08,Ocrelizumab
l04ag12,Ofatumumab
l04ag16,Rozanolixizumab
l04ag14,Ublituximab
l04ag05,Vedolizumab
l04aj,Complementos de inhibidores
l04aj05,Avacopán
l04aj07,Crovalimab
l04aj09,Danicopán
l04aj01,Eculizumab
l04aj08,Iptacopán
l04aj03,Pegcetacoplán
l04aj02,Ravulizumab
l04aj06,Zilucoplán
l04ad,Inhibidores de la calcineurina
l04ad01,Ciclosporina
l04ad02,Tacrólimus
l04ad03,Voclosporina
l04ak,Inhibidores de la dihidroorotato deshidrogenasa (dhodh)
l04ak01,Leflunomida
l04ak02,Teriflunomida
l04ac,Inhibidores de la interleucina
l04ac03,Anakinra
l04ac02,Basiliximab
l04ac21,Bimekizumab
l04ac12,Brodalumab
l04ac08,Canakinumab
l04ac01,Daclizumab
l04ac22,Espesolimab
l04ac16,Guselkumab
l04ac13,Ixekizumab
l04ac24,Mirikizumab
l04ac18,Risankizumab
l04ac14,Sarilumab
l04ac19,Satralizumab
l04ac10,Secukinumab
l04ac11,Siltuximab
l04ac17,Tildrakizumab
l04ac07,Tocilizumab
l04ac05,Ustekinumab
l04ah,Inhibidores de la quinasa diana de rapamicina de mamíferos (mtor)
l04ah02,Everolimus
l04ah01,Sirolimus
l04af,Inhibidores de la quinasa janus-asociada (jak)
l04af02,Baricitinib
l04af07,Deucravacitinib
l04af04,Filgotinib
l04af08,Ritlecitinib
l04af01,Tofacitinib
l04af03,Upadacitinib
l04ab,Inhibidores del factor de necrosis tumoral alfa (TNF-α)
l04ab04,Adalimumab
l04ab05,Certolizumab pegol
l04ab01,Etanercept
l04ab06,Golimumab
l04ab02,Infliximab
l04aa,Inmunosupresores selectivos
l04aa24,Abatacept
l04aa06,Ácido micofenólico
l04aa34,Alemtuzumab
l04aa51,Anifrolumab
l04aa32,Apremilast
l04aa59,Avacopán
l04aa37,Baricitinib
l04aa28,Belatacept
l04aa26,Belimumab
l04aa40,Cladribina
l04aa56,Deucravacitinib
l04aa25,Eculizumab
l04aa58,Efgartigimod alfa
l04aa18,Everolimus
l04aa45,Filgotinib
l04aa27,Fingolimod
l04aa41,Imlifidasa
l04aa03,Inmunoglobulina antilinfocitaria (caballo)
l04aa04,Inmunoglobulina antitimocítica (conejo)
l04aa47,L04aa47-inebilizumab 	
l04aa13,Leflunomida
l04aa23,Natalizumab
l04aa36,Ocrelizumab
l04aa52,Ofatumumab
l04aa90,Ofatumumab
l04aa38,Ozanimod
l04aa54,Pegcetacoplán
l04aa50,Ponesimod
l04aa43,Ravulizumab
l04aa42,Siponimod
l04aa10,Sirolimus
l04aa31,Teriflunomida
l04aa29,Tofacitinib
l04aa44,Upadacitinib
l04aa33,Vedolizumab
l04ae,Moduladores del receptor de la esfingosina 1-fosfato (s1p)
l04ae05,Etrasimod
l04ae01,Fingolimod
l04ae02,Ozanimod
l04ae04,Ponesimod
l04ae03,Siponimod
l04ax,Otros inmunosupresores
l04ax01,Azatioprina
l04ax08,Darvadstrocel
l04ax07,Dimetil fumarato
l04ax09,Diroximel fumarato
l04ax04,Lenalidomida
l04ax03,Metotrexato
l04ax05,Pirfenidona
l04ax06,Pomalidomida
l04ax02,Talidomida
l03,Inmunoestimulantes
l03a,Inmunoestimulantes
l03aa,Factores estimulantes de colonias
l03aa02,Filgrastim
l03aa10,Lenograstim
l03aa14,Lipegfilgrastim
l03aa13,Pegfilgrastim
l03ab,Interferones
l03ab04,Interferon alfa-2a
l03ab05,Interferón alfa-2b
l03ab07,Interferón beta-1a
l03ab08,Interferón beta-1B
l03ab03,Interferón gamma
l03ab11,Peginterferón alfa-2a
l03ab10,Peginterferón alfa-2b
l03ab13,Peginterferon beta-1a
l03ab15,Ropeginterferon alfa-2b
l03ac,Interleukinas
l03ac01,Aldesleukina
l03ax,Otros inmunoestimulantes
l03ax13,Acetato de glatirámero
l03ax14,"Histamina, dihidrocloruro"
l03ax95,Linfocitos t alogénicos modificados genéticamente para expresar el gen suicida tk
l03ax15,Mifamurtida
l03ax16,Plerixafor
l03ax11,Tasonermina
l03ax03,Vacuna bcg
l02,Terapia endocrina
l02b,Antagonistas de hormonas y agentes relacionados
l02bb,Antiandrógenos
l02bb05,Apalutamida
l02bb03,Bicalutamida
l02bb06,Darolutamida
l02bb04,Enzalutamida
l02bb01,Flutamida
l02ba,Antiestrógenos
l02ba04,Elacestrant dihidrocloruro
l02ba03,Fulvestrant
l02ba01,Tamoxifeno
l02ba02,Toremifeno
l02bg,Inhibidores de la aromatasa
l02bg03,Anastrozol
l02bg06,Exemestano
l02bg04,Letrozol
l02bx,Otros antagonistas de hormonas y sustancias relacionadas
l02bx03,Abiraterona
l02bx02,Degarelix
l02bx04,Relugolix
l02a,Hormonas y agentes relacionados
l02ae,Análogos de la hormona liberadora de gonadotrofinas
l02ae01,Buserelina
l02ae03,Goserelina
l02ae05,Histrelina
l02ae02,Leuprorelina
l02ae04,Triptorelina
l02ab,Progestágenos
l02ab02,Medroxiprogesterona
l02ab01,Megestrol
m,Sistema musculoesquelético
m05,Drogas para el tratamiento de enfermedades óseas
m05b,Agentes que afectan la estructura ósea y la mineralización
m05ba,Bifosfonatos
m05ba04,Ácido alendrónico
m05ba02,Ácido clodrónico
m05ba01,Ácido etidrónico
m05ba06,Ácido ibandrónico
m05ba03,Ácido pamidrónico
m05ba07,Ácido risedrónico
m05ba08,Ácido zoledrónico
m05bb,"Bifosfonatos, combinaciones"
m05bb06,Acido alendronico y alfacalcidol secuencial
m05bb03,Ácido alendrónico y colecalciferol
m05bb05,"Ácido alendrónico, calcio y colecalciferol, preparados secuenciales"
m05bb04,"Ácido risedrónico, calcio y colecalciferol, preparados secuenciales"
m05bx,Otros agentes que afectan la estructura ósea y la mineralización
m05bx05,Burosumab
m05bx04,Denosumab
m05bx03,Ranelato de estroncio
m05bx06,Romosozumab
m05bx07,Vosoritida
m05bc,Proteínas morfogenéticas óseas
